z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.8000,0.02725000,6.92731148,0.18355861,0.71743565,0.74054553,7.00713030
2.8000,0.02775000,6.88674297,0.18423281,0.73042735,0.75330329,6.83107940
2.8000,0.02825000,6.79468739,0.18521270,0.73718214,0.76009292,6.66086290
2.8000,0.02875000,6.48563419,0.18652672,0.74639558,0.76934945,6.49641110
2.8000,0.02925000,6.26545968,0.18807350,0.75705901,0.78007050,6.33689160
2.8000,0.02975000,6.10249497,0.18934947,0.76578853,0.78885062,6.18755100
2.8000,0.03034939,6.29159070,0.15448546,0.77634748,0.79156880,6.00910930
2.8000,0.03105632,5.88713098,0.15482776,0.78812786,0.80319186,5.80608660
2.8000,0.03177972,5.76939885,0.15624682,0.80051543,0.81562125,5.61116770
2.8000,0.03251996,5.82584391,0.15806089,0.81300004,0.82822238,5.42123060
2.8000,0.03327745,5.63215153,0.16034828,0.82521502,0.84064939,5.23663360
2.8000,0.03405258,5.16138780,0.16306591,0.83837390,0.85408506,5.05749460
2.8000,0.03484577,4.99582857,0.16654083,0.85023245,0.86638967,4.88386900
2.8000,0.03565743,4.77081648,0.17070454,0.86198566,0.87872597,4.71590940
2.8000,0.03648800,4.56981090,0.17593881,0.87402181,0.89155403,4.55367510
2.8000,0.03733791,4.45825729,0.18241989,0.88607973,0.90466253,4.39729380
2.8000,0.03820762,4.33813496,0.19008711,0.89807981,0.91797628,4.24686570
2.8000,0.03909759,4.17692481,0.19947662,0.91002762,0.93163362,4.10247330
2.8000,0.04000829,3.89634827,0.21076708,0.92193633,0.94572161,3.96436150
2.8000,0.04094021,3.31487468,0.22443290,0.93379699,0.96038896,3.83224950
2.8000,0.04189383,3.03054890,0.24104190,0.94559460,0.97583315,3.70641560
2.8000,0.04286966,3.36421425,0.26116109,0.95743533,0.99241499,3.58769300
2.8000,0.04386822,2.85128263,0.28534884,0.96930397,1.01043265,3.47622630
2.8000,0.04489004,3.06952483,0.31350520,0.98119402,1.03006176,3.37019900
2.8000,0.04593567,2.63489181,0.34526510,0.99283659,1.05115769,3.26018850
